Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration,ticker,date
2,11,13,3670.75,3670.2,-1.1000000000003638,-0.0001498331403664288,2021-06-23 09:26:00,2021-06-23 09:28:00,0 days 00:02:00,140033,2021-06-23
-2,35,65,3657.2,3639.35,35.69999999999982,0.0048807831127638535,2021-06-23 09:50:00,2021-06-23 10:20:00,0 days 00:30:00,140033,2021-06-23
2,96,98,3650.25,3650.2,-0.1000000000003638,-1.3697691938929779e-05,2021-06-23 10:51:00,2021-06-23 10:53:00,0 days 00:02:00,140033,2021-06-23
2,99,114,3650.2,3660.05,19.700000000000728,0.0026984822749438475,2021-06-23 10:54:00,2021-06-23 11:09:00,0 days 00:15:00,140033,2021-06-23
-2,115,117,3660.55,3661.1,-1.0999999999994543,-0.00015025064539475608,2021-06-23 11:10:00,2021-06-23 11:12:00,0 days 00:02:00,140033,2021-06-23
2,192,202,3676.4,3675.0,-2.800000000000182,-0.00038080731150036407,2021-06-23 12:27:00,2021-06-23 12:37:00,0 days 00:10:00,140033,2021-06-23
-2,241,255,3672.95,3666.85,12.199999999999818,0.001660790372861043,2021-06-23 13:16:00,2021-06-23 13:30:00,0 days 00:14:00,140033,2021-06-23
2,258,260,3670.0,3666.85,-6.300000000000182,-0.0008583106267030516,2021-06-23 13:33:00,2021-06-23 13:35:00,0 days 00:02:00,140033,2021-06-23
2,292,295,3673.7,3674.85,2.300000000000182,0.00031303590385722835,2021-06-23 14:07:00,2021-06-23 14:10:00,0 days 00:03:00,140033,2021-06-23
-2,326,328,3661.0,3662.15,-2.300000000000182,-0.0003141218246380806,2021-06-23 14:41:00,2021-06-23 14:43:00,0 days 00:02:00,140033,2021-06-23
2,10,16,3678.0,3678.0,0.0,0.0,2021-06-24 09:25:00,2021-06-24 09:31:00,0 days 00:06:00,140033,2021-06-24
2,17,19,3677.8,3676.65,-2.300000000000182,-0.00031268693240527057,2021-06-24 09:32:00,2021-06-24 09:34:00,0 days 00:02:00,140033,2021-06-24
-2,32,34,3670.9,3673.95,-6.099999999999454,-0.0008308589174315095,2021-06-24 09:47:00,2021-06-24 09:49:00,0 days 00:02:00,140033,2021-06-24
-2,39,42,3665.05,3667.55,-5.0,-0.000682118934257403,2021-06-24 09:54:00,2021-06-24 09:57:00,0 days 00:03:00,140033,2021-06-24
2,55,62,3674.9,3675.55,1.300000000000182,0.00017687556123968662,2021-06-24 10:10:00,2021-06-24 10:17:00,0 days 00:07:00,140033,2021-06-24
2,105,109,3686.45,3686.6,0.3000000000001819,4.068955227931603e-05,2021-06-24 11:00:00,2021-06-24 11:04:00,0 days 00:04:00,140033,2021-06-24
2,110,112,3685.85,3684.0,-3.699999999999818,-0.0005019195029639656,2021-06-24 11:05:00,2021-06-24 11:07:00,0 days 00:02:00,140033,2021-06-24
-2,141,148,3679.0,3680.5,-3.0,-0.00040771948899154253,2021-06-24 11:36:00,2021-06-24 11:43:00,0 days 00:07:00,140033,2021-06-24
2,190,192,3700.45,3699.65,-1.5999999999994543,-0.0002161899228471098,2021-06-24 12:25:00,2021-06-24 12:27:00,0 days 00:02:00,140033,2021-06-24
2,193,196,3701.45,3700.1,-2.699999999999818,-0.0003647219332963969,2021-06-24 12:28:00,2021-06-24 12:31:00,0 days 00:03:00,140033,2021-06-24
-2,203,205,3689.0,3690.0,-2.0,-0.0002710761724045163,2021-06-24 12:38:00,2021-06-24 12:40:00,0 days 00:02:00,140033,2021-06-24
-2,206,208,3692.0,3696.0,-8.0,-0.0010834236186347823,2021-06-24 12:41:00,2021-06-24 12:43:00,0 days 00:02:00,140033,2021-06-24
2,244,247,3693.95,3693.05,-1.7999999999992724,-0.0002436416302331601,2021-06-24 13:19:00,2021-06-24 13:22:00,0 days 00:03:00,140033,2021-06-24
2,263,265,3699.9,3699.0,-1.800000000000182,-0.00024324981756262964,2021-06-24 13:38:00,2021-06-24 13:40:00,0 days 00:02:00,140033,2021-06-24
-2,275,279,3692.15,3691.85,0.6000000000003638,8.125347020038198e-05,2021-06-24 13:50:00,2021-06-24 13:54:00,0 days 00:04:00,140033,2021-06-24
-2,280,283,3691.8,3693.5,-3.399999999999636,-0.0004604799826641859,2021-06-24 13:55:00,2021-06-24 13:58:00,0 days 00:03:00,140033,2021-06-24
-2,354,356,3684.3,3686.75,-4.899999999999636,-0.0006649838503922645,2021-06-24 15:09:00,2021-06-24 15:11:00,0 days 00:02:00,140033,2021-06-24
2,361,363,3693.0,3689.9,-6.199999999999818,-0.0008394259409694182,2021-06-24 15:16:00,2021-06-24 15:18:00,0 days 00:02:00,140033,2021-06-24
